4.153,high
1.972,low
2.023,low
4.138,high
2.514,medium
2.187,medium
2.27,medium
2.453,medium
1.921,low
4.212,high
2.087,low
2.279,medium
1.864,low
4.147,high
2.243,medium
7.652,high
2.194,low
4.426,high
2.397,medium
2.48,medium
4.048,high
2.28,medium
2.094,low
2.417,medium
1.877,low
4.229,high
4.212,high
2.395,medium
2.329,medium
2.041,low
1.912,low
1.834,low
1.851,low
2.379,medium
4.128,high
2.184,medium
2.663,medium
2.236,medium
2.325,medium
1.818,low
2.411,medium
2.6,medium
2.209,medium
2.055,low
4.057,high
2.736,medium
2.262,medium
4.546,high
4.092,high
2.02,low
1.981,low
2.545,medium
1.927,low
2.315,medium
4.232,high
4.228,high
2.558,low
4.408,high
2.614,medium
2.328,low
2.1,low
2.391,medium
2.024,low
4.228,high
2.041,low
2.2,low
4.273,high
4.321,high
2.19,low
2.403,medium
4.243,high
4.366,high
2.233,medium
2.194,low
4.065,high
2.623,medium
1.875,low
4.333,high
1.84,low
2.349,medium
1.988,low
1.852,low
1.851,low
1.923,low
1.96,low
1.842,low
3.986,high
2.209,medium
1.821,low
2.01,low
2.303,medium
1.895,low
2.602,medium
2.336,medium
2.823,medium
4.219,high
1.906,low
2.262,medium
1.988,low
2.672,medium
2.392,medium
4.301,high
2.266,medium
2.612,medium
2.259,medium
1.909,low
2.037,low
2.258,medium
2.197,medium
4.142,high
2.409,medium
2.621,medium
2.216,low
4.104,high
1.976,low
4.151,high
4.19,high
2.658,medium
2.474,medium
1.86,low
4.78,high
2.197,medium
2.42,medium
2.379,medium
2.429,low
1.909,low
2.251,medium
2.507,medium
1.939,low
2.328,medium
2.497,medium
2.439,medium
2.073,low
4.034,high
2.446,medium
2.228,medium
2.139,low
2.217,medium
3.996,high
2.559,medium
1.93,low
2.195,low
2.479,low
2.577,medium
2.352,medium
1.845,low
2.339,medium
4.119,high
2.031,low
2.405,medium
2.426,medium
2.121,low
2.505,medium
4.378,high
2.273,medium
2.249,medium
1.88,low
2.231,low
3.998,high
4.07,high
2.522,medium
2.244,medium
4.186,high
1.963,low
2.534,medium
2.011,low
2.296,medium
2.338,medium
2.474,medium
2.254,medium
1.92,low
1.873,low
1.89,low
4.311,high
1.85,low
2.795,medium
2.28,medium
2.269,medium
1.949,low
4.132,high
1.97,low
4.608,high
2.027,low
2.455,medium
2.206,medium
2.516,medium
1.892,low
4.077,high
1.911,low
2.093,low
2.422,medium
2.557,medium
2.193,low
2.088,low
1.895,low
2.44,medium
2.193,medium
1.917,low
2.026,low
2.067,low
4.05,high
2.502,medium
2.41,medium
4.266,high
2.319,medium
2.181,low
4.288,high
4.368,high
1.98,low
4.157,high
2.626,low
2.327,medium
2.29,low
4.12,high
2.258,medium
4.418,high
4.182,high
4.07,high
2.357,low
