6.532,low
6.971,low
7.433,low
6.9,medium
8.873,high
5.765,low
6.706,low
6.736,low
6.173,low
6.94,medium
8.962,high
6.932,medium
6.337,medium
8.454,high
5.65,medium
7.952,high
9.114,high
10.062,high
7.047,medium
6.766,medium
6.847,medium
6.439,medium
8.874,high
6.948,medium
6.797,medium
9.162,high
7.067,medium
6.149,low
5.978,medium
7.959,high
5.84,medium
7.063,low
6.854,medium
7.401,low
7.596,medium
8.236,high
6.149,medium
8.138,high
5.977,low
9.315,high
5.925,medium
5.972,medium
7.872,high
5.756,medium
7.201,medium
9.726,high
6.764,low
7.613,low
7.811,high
6.071,medium
7.771,medium
7.975,high
6.109,low
5.755,low
8.874,high
5.652,low
6.012,low
5.801,low
6.985,low
6.79,low
6.114,low
5.744,medium
8.876,high
8.246,high
5.517,low
5.844,medium
8.268,high
6.961,low
6.961,medium
8.262,high
8.079,high
7.902,high
8.836,high
9.583,high
6.355,medium
7.64,medium
6.365,medium
7.766,high
9.493,high
5.988,low
5.772,medium
7.57,high
8.156,high
7.813,high
8.271,high
8.141,high
5.948,low
6,medium
6.388,medium
7.674,medium
7.547,medium
6.973,medium
7.071,low
6.808,medium
6.901,medium
7.988,high
6.884,medium
6.294,medium
7.684,medium
6.892,medium
6.591,low
7.467,medium
6.768,low
8.603,high
6.577,low
6.578,medium
7.479,low
6.556,low
6.051,low
6.313,low
7.252,medium
6.211,medium
8.841,high
7.587,medium
6.124,medium
6.076,medium
6.098,low
6.416,medium
6.617,medium
5.726,medium
6.14,medium
7.908,high
6.379,medium
5.907,low
8.244,high
6,medium
9.025,high
7.7,medium
9.22,high
6.887,medium
6.939,medium
6.32,low
6.515,medium
7.986,high
6.69,medium
7.853,high
5.7,low
6.857,low
7.875,high
7.664,high
6.257,low
6.338,medium
5.995,medium
7.841,high
5.774,medium
5.813,low
6.487,low
5.392,low
8.102,high
10.084,high
6.477,low
5.914,medium
5.744,low
6.325,medium
7.983,high
6.232,medium
6.518,medium
6.452,medium
6.582,low
6.786,medium
8.509,high
8.126,high
6.678,low
6.155,low
6.029,medium
6.214,low
6.012,medium
6.396,low
6.765,low
6.104,low
5.705,low
6.639,medium
7.616,medium
6.054,low
5.82,low
5.812,low
5.967,low
5.984,medium
7.364,medium
6.276,low
6.251,medium
6.191,low
6.891,medium
6.81,medium
5.925,low
8.269,high
6.116,low
5.886,low
6.382,medium
6.624,medium
6.791,medium
5.636,low
7.633,high
5.779,low
5.904,low
6.491,medium
7.416,low
5.906,low
6.246,low
5.806,low
6.432,medium
5.955,medium
6.429,medium
6.734,medium
8.714,high
8.914,high
7.448,low
6.575,low
8.714,high
5.773,low
5.619,low
8.556,high
5.996,medium
5.847,medium
6.349,low
6.742,low
6.957,low
7.696,medium
9.06,high
8.055,high
5.888,medium
7.409,medium
7.926,high
9.345,high
6.301,low
6.325,low
6.97,medium
6.862,low
9.229,high
8.149,high
8.935,high
7.956,high
6.205,medium
7.785,high
9.205,high
8.243,high
5.548,low
7.118,low
5.838,low
8.5,high
5.939,low
6.987,low
7.841,high
6.019,low
7.53,high
5.783,medium
6.191,low
6.578,medium
6.587,low
6.08,medium
8.438,high
6.376,low
5.937,medium
7.804,high
7.501,high
6.216,low
6.27,low
8.098,high
6.093,medium
8.765,low
5.994,medium
5.825,low
7.635,low
5.951,low
5.682,low
8.033,high
9.131,high
9.249,high
7.178,medium
7.822,medium
5.712,low
7.904,high
6.507,medium
5.782,medium
9.925,high
7.72,high
6.298,medium
8.401,high
5.728,low
7.975,medium
7.768,high
7.109,medium
6.043,medium
6.005,low
6.855,medium
5.852,low
6.61,low
6.599,medium
6.052,medium
6.69,medium
8.756,high
7.452,low
8.245,high
8.214,high
6.539,low
6.739,medium
7.059,low
7.17,medium
5.63,low
8.267,high
8.225,high
6.863,medium
9.662,high
8.826,high
6.862,low
6.038,low
7.089,medium
6.08,low
6.385,medium
7.901,high
6.707,medium
6.015,medium
6.158,low
6.581,medium
5.528,low
5.702,medium
7.088,low
6.33,medium
5.551,low
5.726,low
7.157,medium
6.613,low
6.351,medium
7.772,high
8.512,high
6.456,low
5.843,low
6.036,low
6.62,medium
8.679,high
6.641,low
5.75,low
8.393,high
8.126,high
5.518,low
6.848,medium
6.453,medium
6.255,medium
8.098,high
7.75,high
7.096,medium
7.919,high
5.713,low
6.345,low
6.601,low
6.525,low
8.86,high
6.276,low
8.605,high
7.437,low
5.775,low
5.895,low
6.741,medium
6.144,medium
8.464,high
5.864,low
6.336,medium
6.58,medium
8.123,high
5.765,medium
6.272,low
7.366,low
8.96,high
6.536,low
6.749,medium
8.325,high
8.376,high
6.503,low
7.271,low
6.295,medium
7.907,high
9.247,high
8.403,high
6.717,low
6.602,medium
9.015,high
5.589,low
5.587,low
5.947,medium
7.757,high
8.018,high
6.995,low
5.463,low
5.467,low
7.605,high
8.671,high
9.275,high
7.093,medium
6.776,medium
8.135,high
7.821,high
6.41,medium
8.938,high
