6.897,50
5.052,1
9.376,0
4.869,0
4.611,0
7.15,50
8.84,100
6.484,50
4.969,2
7.122,50
7.403,50
4.819,0
4.405,0
8.839,100
7.221,50
4.947,1
5.724,5
5.558,0
5.187,2
5.431,2
4.846,1
8.771,100
6.978,50
5.33,2
8.215,100
5.029,5
5.572,1
5.577,5
4.599,0
5.059,5
5.031,5
9.452,100
5.539,5
5.362,0
4.699,1
5.184,2
6.693,50
4.39,0
4.736,0
5.241,2
8.675,100
4.994,1
4.565,0
4.767,1
5.408,0
5.237,2
5.726,2
5.058,5
6.772,50
4.963,2
4.813,5
5.2,0
6.627,50
4.99,5
6.977,50
5.149,1
9.158,100
5.093,2
4.972,1
8.323,100
9.065,100
4.919,1
4.744,0
6.959,1
4.684,1
4.823,2
4.576,0
4.9,1
4.879,1
4.929,5
4.493,1
5.032,0
9.023,100
5.151,0
6.426,5
5.117,0
6.917,50
5.06,5
4.643,0
6.943,50
7.29,50
5.24,1
5.12,0
7.35,50
5.444,2
8.663,100
7.352,50
8.706,50
4.458,0
5.953,0
5.011,1
5.487,5
5.1,0
5.592,0
9.433,100
5.586,5
6.135,5
5.259,5
9.377,100
8.448,100
5.269,2
4.984,0
5.29,2
8.147,100
7.015,5
5.097,1
6.682,50
5.16,2
4.854,0
5.218,2
8.714,100
4.522,0
5.204,0
6.753,50
6.781,50
5.188,2
9.535,100
8.856,100
5.504,5
4.609,0
7.336,50
8.174,100
4.931,0
9.046,100
5.621,0
5.926,1
5.024,1
4.852,1
8.749,100
4.448,0
5.089,1
5.231,1
5.236,5
5.476,5
4.834,0
4.837,5
6.383,50
4.552,0
5.568,5
7.428,50
5.13,2
5.231,5
4.694,1
5.141,5
5.283,5
5.194,1
4.859,0
4.894,2
4.8,0
9.538,100
4.588,0
7.044,50
7.374,50
7.373,50
5.805,2
8.426,100
5.013,0
4.975,0
4.898,0
7.009,50
4.963,0
8.512,100
5.564,5
5.066,5
5.172,2
6.763,50
5.672,5
7.518,50
5.63,5
9.681,100
4.392,0
7.127,50
5.546,5
8.351,100
8.536,100
4.628,0
4.779,1
4.799,0
8.751,100
5.106,1
8.033,100
8.526,100
9.827,100
5.354,0
5.498,5
5.398,1
4.667,0
5.419,1
5.207,2
5.015,0
4.98,5
4.784,2
4.977,1
7.605,50
8.279,50
5.177,0
4.79,1
5.528,1
4.933,0
4.603,0
5.307,0
6.664,50
6.711,50
4.573,0
8.363,100
4.878,0
4.747,0
5.173,0
8.945,100
5.236,5
8.614,100
5.474,1
5.222,0
4.685,1
4.723,0
4.583,1
5.55,5
9.196,100
8.625,100
5.342,5
4.849,1
5.12,0
4.553,0
4.483,0
4.758,2
4.878,5
6.966,50
5.583,5
7.467,50
5.212,5
5.247,1
7.466,50
4.806,0
5.062,0
4.571,0
4.902,0
6.859,50
5.014,5
4.747,0
4.734,2
8.316,100
5.078,2
4.956,1
5.065,5
9.112,100
4.856,0
6.756,50
4.672,0
5.17,5
4.681,0
8.833,100
5.36,5
5.024,2
5.04,5
5.427,2
7.155,50
4.893,1
4.929,0
5.088,1
5.067,5
4.558,0
5.279,2
4.776,0
5.281,1
6.472,50
4.785,0
4.552,1
5.417,0
4.409,0
4.805,5
5.987,5
6.753,50
4.456,0
4.747,1
5.053,0
7.08,50
5.055,5
5.027,5
4.727,2
5.767,5
5.761,5
6.018,1
5.572,2
5.429,0
10.023,100
6.461,5
4.835,2
7.458,50
6.662,50
4.64,0
8.312,100
4.645,0
5.99,5
4.969,0
9.555,100
4.753,0
4.953,1
8.55,100
4.318,0
5.333,2
5.31,0
4.663,0
6.004,2
6.674,50
5.247,0
10.752,100
5.217,0
5.588,1
6.31,5
7.216,50
6.34,50
10.83,100
5.502,1
5.219,5
5.212,1
5.698,5
10.195,100
5.415,0
6.738,50
5.001,2
4.932,1
5.646,5
